,code,room,start_time,end_time,date,day_of_week
0,PEA3392PV,A1-22,07:30,10:50,2023-08-16,qua
1,PEA3418,A2-37,07:30,10:50,2023-08-16,qua
2,PTC3414,B2-01,07:30,09:00,2023-08-16,qua
3,PTC3467,B2-03,07:30,10:50,2023-08-16,qua
4,PSI3211,B2-05,07:30,09:00,2023-08-16,qua
5,PTC3567,B2-09,07:30,10:50,2023-08-16,qua
6,PEA3390,C1-30,07:30,09:00,2023-08-16,qua
7,4323102?,D1-03,07:30,09:00,2023-08-16,qua
8,PSI3482,GD-04,07:30,09:00,2023-08-16,qua
9,PCS3578/3878,B2-01,08:20,11:50,2023-08-16,qua
10,PTC3020,B2-04,08:20,09:50,2023-08-16,qua
11,PEA5756,B2-01,09:00,11:50,2023-08-16,qua
12,PTC3421,A2-37,09:20,10:50,2023-08-16,qua
13,PCS3110,B2-01,09:20,10:50,2023-08-16,qua
14,MAC0122,B2-05,09:20,10:50,2023-08-16,qua
15,PCS3110,B2-10,09:20,10:50,2023-08-16,qua
16,PCS3110,B2-12,09:20,10:50,2023-08-16,qua
17,PSI3322,C1-05,09:20,10:50,2023-08-16,qua
18,PSI3322,C1-30,09:20,10:50,2023-08-16,qua
19,PSI3422,D1-01,09:20,12:40,2023-08-16,qua
20,PRO3826,B2-01,10:20,11:50,2023-08-16,qua
21,PTC3313,B2-10,11:00,12:40,2023-08-16,qua
22,PTC3313,CAEEL (Defesa),11:00,12:40,2023-08-16,qua
23,PTC3313,D1-01,11:00,12:40,2023-08-16,qua
24,PTC3575,B2-01,11:10,12:40,2023-08-16,qua
25,PTC3417,B2-03,11:10,12:40,2023-08-16,qua
26,PEA3294,A1-22,13:10,16:30,2023-08-16,qua
27,PEA3294PV,A2-37,13:10,16:30,2023-08-16,qua
28,PSI3213,B2-05,13:10,14:40,2023-08-16,qua
29,PEA3417,B2-10,13:10,14:40,2023-08-16,qua
30,PEA3288,B2-12,13:10,14:40,2023-08-16,qua
31,PCS3115,C1-30,13:10,14:40,2023-08-16,qua
32,PSI3213,D1-01,13:10,14:40,2023-08-16,qua
33,PSI3213,D1-02,13:10,14:40,2023-08-16,qua
34,4323102?,D1-03,13:10,14:40,2023-08-16,qua
35,PSI3213,D1-04,13:10,14:40,2023-08-16,qua
36,0323100,GD-06,13:10,15:40,2023-08-16,qua
37,PCS 3000,C1-30,13:30,15:20,2023-08-16,qua
38,PTC3449,A2-37,14:00,15:30,2023-08-16,qua
39,0323150,A2-44,14:00,16:50,2023-08-16,qua
40,PCS3422,B2-04,14:00,15:30,2023-08-16,qua
41,PCS3724,B2-05,14:00,15:30,2023-08-16,qua
42,PCS3899,B2-08,14:00,17:30,2023-08-16,qua
43,PSI3463,C1-05,14:00,18:20,2023-08-16,qua
44,PEA3416,B2-03,15:00,16:30,2023-08-16,qua
45,PSI3501,B2-05,15:00,16:30,2023-08-16,qua
46,PCS3225,B2-10,15:00,16:30,2023-08-16,qua
47,PCS3225,B2-12,15:00,16:30,2023-08-16,qua
48,PCS3213,C1-05,15:00,16:30,2023-08-16,qua
49,PCS3225,C1-30,15:00,16:30,2023-08-16,qua
50,PTC3452,A2-37,15:50,17:10,2023-08-16,qua
51,PCS3438,B2-03,16:00,17:30,2023-08-16,qua
52,PCS3722,C1-05,16:00,17:30,2023-08-16,qua
53,PEA3424,A2-37,16:50,18:20,2023-08-16,qua
54,PSI3572,B2-05,16:50,18:20,2023-08-16,qua
55,PSI3262,CAEEL (Defesa),16:50,18:30,2023-08-16,qua
56,PTC5880,A2-44,17:00,19:50,2023-08-16,qua
57,PEA5740,B2-05,17:00,19:30,2023-08-16,qua
58,PSI5120,B2-06,17:00,19:50,2023-08-16,qua
59,PSI3321,B2-03,18:00,19:30,2023-08-16,qua
